states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
3,diag,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.460068512537095,-8.460068512537095,3384151.405014838,3384784.181518861,-8.084981190594762,-8.084981190594762,-8.854899203348031,-8.854899203348031,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-dow_cos-adx-mfi_14
3,diag,"['ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-8.32759082063909,-8.32759082063909,3331160.3282556357,3331793.1047596587,-8.111912411081684,-8.111912411081684,-8.733136246279448,-8.733136246279448,st3_diag_ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.023169286073289,-8.023169286073289,3209607.7144293156,3211342.746779056,-8.118908695864285,-8.118908695864285,-8.667235240003087,-8.667235240003087,st3_full_ret_log-rolling_std_1h-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,diag,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-8.518776917744104,-8.518776917744104,3407634.7670976417,3408267.5436016647,-8.16510063122462,-8.16510063122462,-8.886401010540997,-8.886401010540997,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
3,diag,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-8.47313518287213,-8.47313518287213,3389378.0731488527,3390010.8496528757,-8.182327312855367,-8.182327312855367,-8.735363345238381,-8.735363345238381,st3_diag_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-8.07764887057592,-8.07764887057592,3231399.548230368,3233134.5805801083,-8.21568050850118,-8.21568050850118,-8.849735255643276,-8.849735255643276,st3_full_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
3,diag,"['ret_log', 'rolling_std_1h', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.507718131933926,-8.507718131933926,3403211.2527735704,3403844.0292775934,-8.238765954256799,-8.238765954256799,-8.88811533058863,-8.88811533058863,st3_diag_ret_log-rolling_std_1h-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,diag,"['ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.53410243077786,-8.53410243077786,3413764.972311144,3414397.748815167,-8.252619945943179,-8.252619945943179,-8.795192870259173,-8.795192870259173,st3_diag_ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-8.17456050089585,-8.17456050089585,3270164.2003583405,3271899.2327080807,-8.254212160389978,-8.254212160389978,-9.051173832471694,-9.051173832471694,st3_full_rolling_std_1d-ret_log-log_volume-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
2,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-8.642570507449978,-8.642570507449978,3457250.202979991,3458383.077043645,-8.30932220876318,-8.30932220876318,-9.149765475542674,-9.149765475542674,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-ma20_rel-dow_sin-hour_sin-dow_cos-adx
