split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2469372.699402873,-12.346863497014365,4939011.398805746,4940368.806467601,-603766.9416492322,-12.075338832984643,-655181.7795140853,-13.103635590281705,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-ma20_rel-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2563811.848890438,-12.819059244452191,5127709.697780876,5128148.558904634,-637799.7287502103,-12.755994575004205,-664781.9797545768,-13.295639595091536,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",203,-2373869.3365491587,-11.869346682745793,4748144.673098317,4750216.5058453595,-578472.2505907499,-11.569445011814999,-633061.6579104889,-12.661233158209777,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2515208.979238634,-12.57604489619317,5030683.958477268,5032041.366139123,-624924.5586656928,-12.498491173313855,-658183.5663701447,-13.163671327402895,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",203,-2358616.975855873,-11.793084879279364,4717639.951711746,4719711.784458788,-579131.6441615333,-11.582632883230666,-623851.9639383566,-12.477039278767132,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2559453.9351143697,-12.79726967557185,5118993.870228739,5119432.731352497,-628729.4910504661,-12.574589821009322,-663527.7689708865,-13.27055537941773,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2531412.9565328863,-12.657064782664431,5062911.9130657725,5063350.77418953,-618992.4114587142,-12.379848229174284,-665213.5385285703,-13.304270770571407,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-ma20_rel-dow_sin-hour_sin-dow_cos-adx
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2473979.2817305797,-12.369896408652899,4948224.563461159,4949581.971123015,-605823.49449498,-12.1164698898996,-660829.501982142,-13.21659003964284,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-ma20_rel-dow_sin-hour_sin-dow_cos-adx
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",68,-1946823.760322748,-9.73411880161374,3893783.520645496,3894477.533585392,-484899.4178455055,-9.69798835691011,-511145.6790931235,-10.22291358186247,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'rsi_14', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2559784.0285989908,-12.798920142994954,5119654.0571979815,5120092.918321739,-633880.5938963311,-12.677611877926623,-662289.1118147019,-13.245782236294039,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-rsi_14-dow_sin-hour_sin-dow_cos-adx
